RUO (UFMS) — MASTER TASK MATRIX														
University Facilities Management System — Agile/Scrum Breakdown			TIẾN ĐỘ HOÀN THÀNH			ĐỘ ƯU TIÊN (MUST / SHOULD)			PHÂN PHỐI ROLE PHỤ TRÁCH			NHÂN SỰ THỰC HIỆN (SIGN)		
External Integration	Phase 5	UC-7.2: Email Dispatcher	As system, I want to dispatch HTML notification emails	External System, System	Uyên	Should	In Progress		BE	M	none	Gửi email HTML tự động qua Nodemailer (Ethereal/Gmail SMTP) có gắn logo trường, hỗ trợ gửi hàng loạt	services/emailService.js	Nodemailer queue
External Integration	Phase 5	UC-7.3: SMS Emergency Mock	As system, I want to log emergency SMS dispatches	External System, System	Uyên	Could	In Progress		BE	S	none	Dịch vụ mô phỏng gửi tin nhắn SMS Brandname đối với thông báo khẩn cấp (báo cháy, cúp điện toàn trường)	services/smsService.js	SMS audit log
User Management	Phase 1	UC-6.1: Create User	As admin, I want to add new user account	System Admin	Hoàng	Must	In Progress		FE/BE	M	UC-1.1	Nhập email/MSSV (unique), họ tên, SĐT, chọn vai trò; sinh mật khẩu ngẫu nhiên; gửi email kích hoạt tài khoản	POST /api/admin/users	User provisioning
User Management	Phase 1	UC-6.2: User Directory	As admin, I want to browse user directory	System Admin	Hoàng	Must	In Progress		FE/BE	M	UC-6.1	Phân trang danh sách user; filter theo Role, Khoa/Viện, Trạng thái (Active/Locked); tìm kiếm theo họ tên/MSSV	GET /api/admin/users	Index: (role, status)
User Management	Phase 1	UC-6.3: User Detail View	As admin, I want to inspect detailed user profile & activity	System Admin	Hoàng	Should	In Progress		FE/BE	S	UC-6.2	Xem thông tin tài khoản, lịch sử 10 lần login gần nhất, danh sách booking, đơn mượn thiết bị và ticket đã tạo	GET /api/admin/users/:id	360-degree user view
User Management	Phase 1	UC-6.4: Update User Info & Role	As admin, I want to update user profile and assign role	System Admin	Hoàng	Must	In Progress		FE/BE	M	UC-6.2	Sửa thông tin, điều chỉnh vai trò; khi thay đổi role lập tức thu hồi toàn bộ JWT token hiện tại để áp quyền mới	PUT /api/admin/users/:id	Instant RBAC update
User Management	Phase 1	UC-6.5: Toggle User Status	As admin, I want to lock/unlock user accounts	System Admin	Hoàng	Must	In Progress		FE/BE	S	UC-6.2	Khóa/mở tài khoản (Active <-> Locked); khi khóa tự động hủy mọi booking tương lai; không xóa cứng bản ghi	PUT /api/admin/users/:id/toggle-status	Soft status lock
User Management	Phase 1	UC-6.6: Admin Reset Password	As admin, I want to reset password for a user	System Admin	Hoàng	Should	In Progress		FE/BE	S	UC-6.2	Sinh mật khẩu ngẫu nhiên an toàn; gửi thông báo mật khẩu tạm; gắn cờ bắt buộc đổi mật khẩu ở lần đăng nhập tới	POST /api/admin/users/:id/reset-password	Force password reset
User Management	Phase 1	UC-6.7: Batch User Import	As admin, I want to import users from Excel/CSV	System Admin	Hoàng	Must	In Progress		FE/BE	L	UC-6.1	Upload file Excel > 1.000 dòng sinh viên/giảng viên; kiểm tra hợp lệ, chống trùng email; hiển thị Preview Grid trước khi import	POST /api/admin/users/import	Bulk onboarding
Access Control (RBAC)	Phase 1	UC-6.8: Roles Matrix View	As admin, I want to view RBAC roles and permissions	System Admin	Hoàng	Must	In Progress		FE/BE	M	UC-1.1	Hiển thị ma trận 6 vai trò chuẩn và các vai trò tùy chỉnh; đếm số user đang gán; hiển thị danh sách permissions	GET /api/admin/roles	Dynamic RBAC matrix
Access Control (RBAC)	Phase 1	UC-6.9: Create Custom Role	As admin, I want to define custom RBAC roles	System Admin	Hoàng	Should	In Progress		FE/BE	M	UC-6.8	Nhập mã vai trò, tên, mô tả; chọn quyền từ cây phân quyền (Permission Tree) phân theo module nghiệp vụ	POST /api/admin/roles	Granular role builder
Access Control (RBAC)	Phase 1	UC-6.10: Update Role Permissions	As admin, I want to modify permissions of a role	System Admin	Hoàng	Must	In Progress		FE/BE	M	UC-6.8	Tick/untick quyền; cảnh báo số lượng user bị ảnh hưởng; áp dụng thay đổi ngay cho các phiên đăng nhập tiếp theo	PUT /api/admin/roles/:id/permissions	Live policy sync
Access Control (RBAC)	Phase 1	UC-6.11: Assign Roles to Users	As admin, I want to assign multiple roles to users	System Admin	Hoàng	Must	In Progress		FE/BE	S	UC-6.8	Hỗ trợ gán vai trò đơn lẻ hoặc gán hàng loạt theo lớp/khoa; kế thừa quyền hạn theo mô hình RBAC chuẩn	POST /api/admin/roles/assign	Bulk role assignment
System Config	Phase 5	UC-6.12: Booking Policy Config	As admin, I want to configure global booking rules	System Admin	Hoàng	Must	In Progress		FE/BE	M	UC-1.10	Cấu hình: số phòng tối đa/ngày theo Role (SV: 2, GV: 5), số tuần đặt trước (SV: 2, GV: 4), giờ mở/đóng cửa (06:00-22:00)	PUT /api/admin/config/booking-rules	Runtime policy tuning
System Config	Phase 5	UC-6.13: Escalation Threshold Config	As admin, I want to calibrate 4 escalation thresholds	System Admin	Hoàng	Must	In Progress		FE/BE	M	none	Cấu hình 4 ngưỡng tự động leo thang: cờ trùng chính khóa, ngưỡng số phòng (>=3), giờ mượn đêm (>21h), giá trị máy (>50tr)	PUT /api/admin/config/escalation-rules	Dynamic escalation triggers
System Config	Phase 5	UC-6.14: Notification Template Builder	As admin, I want to customize notification email templates	System Admin	Hoàng	Should	In Progress		FE/BE	M	UC-7.2	Soạn thảo mẫu thông báo Email/In-app với placeholders động {{userName}}, {{roomCode}}, {{timeSlot}}, {{reason}}	PUT /api/admin/config/templates/:type	Dynamic template builder
System Config	Phase 5	UC-6.15: Master Reference Data (CRUD)	As admin, I want to manage system master reference data	System Admin	Hoàng	Must	In Progress		FE/BE	M	UC-3.1	Quản lý danh mục loại phòng (Lý thuyết, Lab máy tính, Hội trường), loại thiết bị, phân loại sự cố, tòa nhà, khoa viện	CRUD /api/admin/master-data/:category	Master data management
Security & Audit	Phase 5	UC-6.16: Immutable Audit Trail	As admin, I want to inspect tamper-proof audit logs	System Admin	Hoàng	Must	In Progress		FE/BE	L	none	Ghi nhận nhật ký bất biến SHA-256 (prevHash -> sha256Hash) cho mọi thao tác đăng nhập, CRUD, duyệt đơn	GET /api/audit/logs	Collection audit_logs
Security & Audit	Phase 5	Cryptographic Verification	As admin, I want to verify audit chain integrity	System Admin	Hoàng	Must	In Progress		BE	M	UC-6.16	Kiểm tra tính toàn vẹn của chuỗi băm SHA-256 từ khối genesis đến khối hiện tại; phát hiện ngay nếu bị sửa	GET /api/audit/verify-chain	Blockchain verification
Security & Audit	Phase 5	UC-6.17: Audit Log Export	As admin, I want to export audit logs for inspection	System Admin	Hoàng	Should	In Progress		FE/BE	M	UC-6.16	Xuất CSV/Excel nhật ký kiểm toán theo khoảng thời gian và đối tượng tác động (tối đa 10.000 dòng/lần)	GET /api/audit/export	Security audit
Admin System	Phase 5	UC-6.18: System Health Monitor	As admin, I want to monitor real-time system health	System Admin	Hoàng	Must	In Progress		FE/BE	M	none	Dashboard giám sát số user online, số request API/phút, RAM/CPU máy chủ, số ticket mở, cảnh báo SLA vi phạm	GET /api/health & GET /api/admin/metrics	System telemetry
